"","FEATURE_CLASS","freq"
"1","Airport",1116
"2","Arch",79
"3","Area",284
"4","Arroyo",2
"5","Bar",274
"6","Basin",510
"7","Bay",422
"8","Beach",275
"9","Bench",32
"10","Bend",108
"11","Bridge",160
"12","Building",9368
"13","Canal",2305
"14","Cape",663
"15","Cemetery",958
"16","Census",1102
"17","Channel",104
"18","Church",10152
"19","Civil",1626
"20","Cliff",182
"21","Crater",25
"22","Crossing",1511
"23","Dam",1467
"24","Falls",179
"25","Flat",2645
"26","Forest",45
"27","Gap",679
"28","Glacier",20
"29","Gut",202
"30","Harbor",103
"31","Hospital",1114
"32","Island",518
"33","Isthmus",1
"34","Lake",2674
"35","Lava",16
"36","Levee",23
"37","Locale",14401
"38","Military",314
"39","Mine",3353
"40","Oilfield",130
"41","Park",6947
"42","Pillar",306
"43","Plain",26
"44","Populated Place",7141
"45","Post Office",1806
"46","Range",354
"47","Rapids",10
"48","Reserve",272
"49","Reservoir",1363
"50","Ridge",1768
"51","School",12975
"52","Sea",1
"53","Slope",47
"54","Spring",3077
"55","Stream",9886
"56","Summit",5634
"57","Swamp",123
"58","Tower",962
"59","Trail",1190
"60","Tunnel",131
"61","Valley",7611
"62","Well",250
"63","Woods",200
